country,ccode,year,tier,minstand,efforts,TRAFFICKING_FLOWS,source,source_order,transit,transit_order,destination,destination_order,internal,TRAFFICKING_TYPES,psource,ptransit,pdest,pinternal,lsource,ltransit,ldest,linternal,dsource,dtransit,ddest,dinternal,dssource,dstransit,dsdest,dsinternal,cpsource,cptransit,cpdest,cpinternal,clsource,cltransit,cldest,clinternal,cssource,cstransit,csdest,csinternal,PROSECUTION,domesticlaws,enforcement,convictinfo,prosnum,PROTECTION,protectprogress,victimid,victimservices,victimpunish,PREVENTION,preventprogress,INTERNATIONAL_LAWS,UNP_sign,UNP_rat,ILO182,ILO29,ILO105,CEDAW_sign,CEDAW_rat,UNCRC_sign,UNCRC_rat,conflict_sign,conflict_rat
Canada,20.0,2001,Tier 1,Yes,Yes,,No,No mention,Yes,First mention,Yes,Second mention,Yes,,No mention,Yes,Yes,Yes,No mention,Yes,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,,Some,Yes,No mention,,,No mention,No mention,No mention,No mention,,No mention,,2000-12-14,2002-05-13,2000-06-06,2011-06-13,1959-07-14,1980-07-17,1981-12-10,2001-11-10,2005-09-14,2000-06-05,2000-07-07
Canada,20.0,2002,Tier 1,Yes,Yes,,No,No mention,Yes,Second mention,Yes,First mention,No,,No mention,Yes,Yes,No mention,No mention,Yes,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Yes,Yes,No mention,No mention,Yes,Yes,No mention,No mention,No mention,No mention,No mention,,Yes,Yes,No mention,,,No mention,No mention,Yes,No mention,,Yes,,2000-12-14,2002-05-13,2000-06-06,2011-06-13,1959-07-14,1980-07-17,1981-12-10,2001-11-10,2005-09-14,2000-06-05,2000-07-07
Canada,20.0,2003,Tier 2/2 Watch List,No,Yes,,No,No mention,Yes,Second mention,Yes,First mention,No,,No mention,Yes,Yes,No mention,No mention,Yes,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,,Yes,Some,No mention,,,No mention,No mention,Yes,No mention,,Yes,,2000-12-14,2002-05-13,2000-06-06,2011-06-13,1959-07-14,1980-07-17,1981-12-10,2001-11-10,2005-09-14,2000-06-05,2000-07-07
Canada,20.0,2004,Tier 1,Yes,Yes,,No,No mention,Yes,Second mention,Yes,First mention,Yes,,No mention,Yes,Yes,Yes,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,,Yes,Yes,Yes,40.0,,No mention,No mention,Yes,No mention,,Yes,,2000-12-14,2002-05-13,2000-06-06,2011-06-13,1959-07-14,1980-07-17,1981-12-10,2001-11-10,2005-09-14,2000-06-05,2000-07-07
Canada,20.0,2005,Tier 1,Yes,Yes,,No,No mention,Yes,Second mention,Yes,First mention,Yes,,No mention,Yes,Yes,Yes,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Yes,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,,Yes,No mention,Yes,19.0,,No mention,No mention,Yes,No,,Yes,,2000-12-14,2002-05-13,2000-06-06,2011-06-13,1959-07-14,1980-07-17,1981-12-10,2001-11-10,2005-09-14,2000-06-05,2000-07-07
Canada,20.0,2006,Tier 1,Yes,Yes,,Yes,First mention,Yes,Second mention,Yes,Third mention,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Yes,Yes,Yes,No mention,Yes,Yes,Yes,No mention,No mention,No mention,No mention,No mention,,Yes,Yes,Yes,15.0,,No mention,No mention,No mention,No mention,,Some,,2000-12-14,2002-05-13,2000-06-06,2011-06-13,1959-07-14,1980-07-17,1981-12-10,2001-11-10,2005-09-14,2000-06-05,2000-07-07
Canada,20.0,2007,Tier 1,Yes,Yes,,No,No mention,Yes,Third mention,Yes,Second mention,Yes,,No mention,Yes,Yes,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Yes,Yes,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,,Yes,Yes,Yes,9.0,,Yes,No mention,Yes,No mention,,Yes,,2000-12-14,2002-05-13,2000-06-06,2011-06-13,1959-07-14,1980-07-17,1981-12-10,2001-11-10,2005-09-14,2000-06-05,2000-07-07
Canada,20.0,2008,Tier 1,Yes,Yes,,Yes,First mention,Yes,Second mention,Yes,Third mention,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Yes,No mention,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No mention,No mention,No mention,No mention,No mention,,Yes,Some,Yes,17.0,,Yes,No mention,Yes,No,,Yes,,2000-12-14,2002-05-13,2000-06-06,2011-06-13,1959-07-14,1980-07-17,1981-12-10,2001-11-10,2005-09-14,2000-06-05,2000-07-07
Canada,20.0,2009,Tier 1,Yes,Yes,,Yes,First mention,Yes,Second mention,Yes,Third mention,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No mention,No mention,No mention,No mention,No mention,No mention,Yes,No mention,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No mention,No mention,No mention,No mention,,Some,Yes,Yes,5.0,,Yes,No mention,Yes,No,,Yes,,2000-12-14,2002-05-13,2000-06-06,2011-06-13,1959-07-14,1980-07-17,1981-12-10,2001-11-10,2005-09-14,2000-06-05,2000-07-07
Canada,20.0,2010,Tier 1,Yes,Yes,,Yes,First mention,Yes,Second mention,Yes,Third mention,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No mention,No mention,No mention,No mention,No mention,No mention,Yes,No mention,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No mention,No mention,No mention,No mention,,Some,Yes,Yes,32.0,,Yes,No,Yes,No,,Yes,,2000-12-14,2002-05-13,2000-06-06,2011-06-13,1959-07-14,1980-07-17,1981-12-10,2001-11-10,2005-09-14,2000-06-05,2000-07-07
Canada,20.0,2011,Tier 1,Yes,2,,Yes,First mention,Yes,Second mention,Yes,Third mention,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Yes,No mention,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No mention,No mention,No mention,No mention,No mention,,Yes,Yes,Yes,68.0,,Yes,No,Yes,No,,Yes,,2000-12-14,2002-05-13,2000-06-06,2011-06-13,1959-07-14,1980-07-17,1981-12-10,2001-11-10,2005-09-14,2000-06-05,2000-07-07
"Bahamas, The",31.0,2006,Special Case,No mention,No mention,,No,No mention,No,No mention,Yes,First mention,Yes,,No mention,No mention,No mention,Yes,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,,Some,No,No mention,,,No,No mention,No mention,No mention,,Some,,2001-04-09,2008-09-26,2001-06-14,1976-05-25,1976-05-25,,1993-10-06,,,,
"Bahamas, The",31.0,2007,Special Case,No mention,No mention,,No,No mention,No,No mention,Yes,First mention,Yes,,No mention,No mention,No mention,Yes,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,,Some,No,Yes,0.0,,No,No,No,No mention,,Some,,2001-04-09,2008-09-26,2001-06-14,1976-05-25,1976-05-25,,1993-10-06,,,,
"Bahamas, The",31.0,2008,Special Case,No mention,No mention,,No,No mention,Yes,Second mention,Yes,First mention,No,,No mention,No mention,Yes,No mention,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,,Some,No,Yes,0.0,,No,No,No,No mention,,Some,,2001-04-09,2008-09-26,2001-06-14,1976-05-25,1976-05-25,,1993-10-06,,,,
"Bahamas, The",31.0,2009,Tier 2/2 Watch List,No,Yes,,No,No mention,No,No mention,Yes,First mention,No,,No mention,No mention,Yes,No mention,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,,Yes,No,Yes,0.0,,Yes,No,No,No,,Some,,2001-04-09,2008-09-26,2001-06-14,1976-05-25,1976-05-25,,1993-10-06,,,,
"Bahamas, The",31.0,2010,Tier 2/2 Watch List,No,Yes,,No,No mention,No,No mention,Yes,First mention,No,,No mention,No mention,Yes,No mention,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,,Yes,No,Yes,0.0,,No,No,No,No,,Some,,2001-04-09,2008-09-26,2001-06-14,1976-05-25,1976-05-25,,1993-10-06,,,,
"Bahamas, The",31.0,2011,Tier 2/2 Watch List,No,2,,Yes,Second mention,Yes,Third mention,Yes,First mention,No,,Yes,Yes,Yes,No mention,Yes,Yes,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Yes,Yes,Yes,No mention,Yes,Yes,Yes,No mention,No mention,No mention,No mention,No mention,,Yes,Some,Yes,0.0,,No,No,Yes,Yes,,Some,,2001-04-09,2008-09-26,2001-06-14,1976-05-25,1976-05-25,,1993-10-06,,,,
Cuba,40.0,2003,Tier 3,No,No,,No,No mention,No,No mention,No,No mention,Yes,,No mention,No mention,No mention,Yes,No mention,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,,Some,No,No mention,,,No,No mention,Yes,No mention,,No,,,2013-06-20,,1953-07-20,1958-06-02,1980-03-06,1980-07-17,2000-10-13,2001-09-25,2000-10-13,2007-02-09
Cuba,40.0,2004,Tier 3,No,No,,No,No mention,No,No mention,No,No mention,Yes,,No mention,No mention,No mention,Yes,No mention,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,,No,No,No mention,,,No,No mention,No,No mention,,No,,,2013-06-20,,1953-07-20,1958-06-02,1980-03-06,1980-07-17,2000-10-13,2001-09-25,2000-10-13,2007-02-09
Cuba,40.0,2005,Tier 3,No,No,,Yes,First mention,No,No mention,No,No mention,Yes,,No mention,No mention,No mention,Yes,Yes,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Yes,No mention,No mention,No mention,Yes,No mention,No mention,No mention,No mention,,No,No mention,No mention,,,No,No mention,No,No mention,,No,,,2013-06-20,,1953-07-20,1958-06-02,1980-03-06,1980-07-17,2000-10-13,2001-09-25,2000-10-13,2007-02-09
Cuba,40.0,2006,Tier 3,No,No,,Yes,First mention,No,No mention,No,No mention,No,,Yes,No mention,No mention,Yes,Yes,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Yes,No mention,No mention,No mention,Yes,No mention,No mention,No mention,No mention,,No,No,No,,,No,No mention,No,Yes,,No,,,2013-06-20,,1953-07-20,1958-06-02,1980-03-06,1980-07-17,2000-10-13,2001-09-25,2000-10-13,2007-02-09
Cuba,40.0,2007,Tier 3,No,No,,No,No mention,No,No mention,No,No mention,Yes,,Yes,No mention,No mention,Yes,No mention,No mention,No mention,Yes,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Yes,No mention,No mention,Yes,No mention,No mention,No mention,Yes,No mention,No mention,No mention,No mention,,Some,No mention,No mention,,,No,No,No mention,Yes,,No,,,2013-06-20,,1953-07-20,1958-06-02,1980-03-06,1980-07-17,2000-10-13,2001-09-25,2000-10-13,2007-02-09
Cuba,40.0,2008,Tier 3,No,No,,Yes,First mention,Yes,Second mention,No,No mention,Yes,,Yes,No mention,No mention,Yes,No mention,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Yes,No mention,No mention,No mention,Yes,No mention,No mention,No mention,No mention,,Some,Some,No mention,2.0,,No mention,No,Yes,No mention,,No mention,,,2013-06-20,,1953-07-20,1958-06-02,1980-03-06,1980-07-17,2000-10-13,2001-09-25,2000-10-13,2007-02-09
Cuba,40.0,2009,Tier 3,No,No,,Yes,First mention,No,No mention,No,No mention,Yes,,Yes,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,,Some,No mention,No mention,,,No,No,Yes,Yes,,No,,,2013-06-20,,1953-07-20,1958-06-02,1980-03-06,1980-07-17,2000-10-13,2001-09-25,2000-10-13,2007-02-09
Cuba,40.0,2010,Tier 3,No,No,,No,No mention,No,No mention,No,No mention,Yes,,No mention,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,,Some,No mention,No mention,,,No,No,Yes,No mention,,Some,,,2013-06-20,,1953-07-20,1958-06-02,1980-03-06,1980-07-17,2000-10-13,2001-09-25,2000-10-13,2007-02-09
Cuba,40.0,2011,Tier 3,No,No,,Yes,First mention,No,No mention,No,No mention,No,,Yes,No mention,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Yes,No mention,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,,Some,No,No,,,No,No,Yes,Yes,,No,,,2013-06-20,,1953-07-20,1958-06-02,1980-03-06,1980-07-17,2000-10-13,2001-09-25,2000-10-13,2007-02-09
Haiti,41.0,2001,Tier 2/2 Watch List,No,Yes,,Yes,First mention,No,No mention,No,No mention,Yes,,No mention,No mention,No mention,Yes,No mention,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Yes,No mention,No mention,No mention,Yes,No mention,No mention,No mention,No mention,,Some,Some,No mention,,,Yes,No mention,No mention,No mention,,Some,,2000-12-13,2011-04-19,2007-07-19,1958-03-04,1958-03-04,1980-07-17,1981-07-20,2002-08-15,,2002-08-15,
Haiti,41.0,2002,Tier 2/2 Watch List,No,Yes,,Yes,First mention,No,No mention,No,No mention,Yes,,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Yes,No mention,No mention,No mention,No mention,,Some,No,No mention,0.0,,No,No mention,No,No mention,,Some,,2000-12-13,2011-04-19,2007-07-19,1958-03-04,1958-03-04,1980-07-17,1981-07-20,2002-08-15,,2002-08-15,
Haiti,41.0,2003,Tier 3,No,No,,Yes,First mention,Yes,Second mention,Yes,Third mention,Yes,,Yes,No mention,Yes,No mention,Yes,Yes,No mention,Yes,No mention,Yes,No mention,No mention,Yes,No mention,No mention,Yes,Yes,No mention,No mention,No mention,Yes,No mention,No mention,Yes,No mention,No mention,No mention,No mention,,Some,No,No mention,0.0,,Yes,No mention,No mention,No mention,,Some,,2000-12-13,2011-04-19,2007-07-19,1958-03-04,1958-03-04,1980-07-17,1981-07-20,2002-08-15,,2002-08-15,
Haiti,41.0,2004,Special Case,No mention,No mention,,Yes,First mention,Yes,Second mention,Yes,Third mention,Yes,,No mention,No mention,Yes,No mention,Yes,Yes,Yes,Yes,No mention,Yes,Yes,No mention,No mention,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,No mention,Yes,Yes,No mention,No mention,No mention,No mention,,No mention,No mention,No mention,,,No mention,No mention,No mention,No mention,,No mention,,2000-12-13,2011-04-19,2007-07-19,1958-03-04,1958-03-04,1980-07-17,1981-07-20,2002-08-15,,2002-08-15,
Haiti,41.0,2005,Tier 2/2 Watch List,No,Yes,,Yes,First mention,Yes,Second mention,Yes,Third mention,Yes,,No mention,No mention,Yes,No mention,Yes,Yes,Yes,Yes,Yes,Yes,No mention,No mention,No mention,No mention,No mention,Yes,No mention,No mention,Yes,No mention,Yes,Yes,Yes,Yes,No mention,No mention,No mention,No mention,,Some,Some,Yes,0.0,,Yes,No mention,No mention,No mention,,No,,2000-12-13,2011-04-19,2007-07-19,1958-03-04,1958-03-04,1980-07-17,1981-07-20,2002-08-15,,2002-08-15,
Haiti,41.0,2006,Special Case,No mention,No mention,,Yes,First mention,Yes,Second mention,Yes,Third mention,Yes,,Yes,Yes,Yes,No mention,Yes,Yes,Yes,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Yes,No mention,No mention,Yes,No mention,Yes,Yes,No mention,Yes,No mention,No mention,No mention,No mention,,No mention,No mention,No mention,,,No mention,No mention,No mention,No mention,,No mention,,2000-12-13,2011-04-19,2007-07-19,1958-03-04,1958-03-04,1980-07-17,1981-07-20,2002-08-15,,2002-08-15,
Haiti,41.0,2007,Special Case,No mention,No mention,,Yes,First mention,Yes,Second mention,Yes,Third mention,Yes,,Yes,Yes,Yes,No mention,Yes,Yes,Yes,Yes,No mention,No mention,No mention,No mention,Yes,No mention,No mention,Yes,No mention,No mention,Yes,No mention,Yes,No mention,No mention,Yes,No mention,No mention,No mention,No mention,,No mention,No mention,No mention,,,No mention,No mention,No mention,No mention,,No mention,,2000-12-13,2011-04-19,2007-07-19,1958-03-04,1958-03-04,1980-07-17,1981-07-20,2002-08-15,,2002-08-15,
Haiti,41.0,2008,Special Case,No mention,No mention,,Yes,First mention,Yes,Second mention,Yes,Third mention,Yes,,Yes,Yes,Yes,No mention,Yes,Yes,Yes,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Yes,No mention,No mention,Yes,No mention,No mention,No mention,No mention,Yes,No mention,No mention,No mention,No mention,,Some,No mention,No mention,,,Yes,No mention,No mention,No mention,,No mention,,2000-12-13,2011-04-19,2007-07-19,1958-03-04,1958-03-04,1980-07-17,1981-07-20,2002-08-15,,2002-08-15,
Haiti,41.0,2009,Special Case,No mention,No mention,,Yes,First mention,Yes,Second mention,Yes,Third mention,Yes,,Yes,Yes,Yes,No mention,Yes,Yes,Yes,Yes,No mention,No mention,No mention,No mention,Yes,No mention,No mention,Yes,Yes,No mention,Yes,No mention,Yes,No mention,No mention,Yes,No mention,No mention,No mention,No mention,,Some,No mention,No mention,,,Yes,No,No,No mention,,No mention,,2000-12-13,2011-04-19,2007-07-19,1958-03-04,1958-03-04,1980-07-17,1981-07-20,2002-08-15,,2002-08-15,
Haiti,41.0,2010,Special Case,No mention,No mention,,Yes,First mention,Yes,Second mention,Yes,Third mention,Yes,,Yes,Yes,Yes,No mention,Yes,Yes,Yes,Yes,No mention,No mention,No mention,No mention,Yes,No mention,No mention,Yes,Yes,No mention,No mention,No mention,Yes,No mention,Yes,Yes,No mention,No mention,No mention,No mention,,Some,No,No mention,,,Yes,No,No,No mention,,No mention,,2000-12-13,2011-04-19,2007-07-19,1958-03-04,1958-03-04,1980-07-17,1981-07-20,2002-08-15,,2002-08-15,
Haiti,41.0,2011,Special Case,No mention,No mention,,Yes,First mention,Yes,Second mention,Yes,Third mention,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No mention,No mention,No mention,No mention,No mention,No mention,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No mention,No mention,No mention,No mention,,Some,No,Yes,,,Yes,No,No,No mention,,No,,2000-12-13,2011-04-19,2007-07-19,1958-03-04,1958-03-04,1980-07-17,1981-07-20,2002-08-15,,2002-08-15,
Dominican Republic,42.0,2001,Tier 2/2 Watch List,No,Yes,,Yes,First mention,No,No mention,No,No mention,No,,Yes,No mention,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Yes,No mention,No mention,No mention,Yes,No mention,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,,Some,Yes,Yes,,,No mention,No mention,No,No mention,,Some,,2000-12-15,2008-02-05,2000-11-15,1956-12-05,1958-06-23,1980-07-17,1982-09-02,,2006-12-06,2002-05-09,
Dominican Republic,42.0,2002,Tier 2/2 Watch List,No,Yes,,Yes,First mention,No,No mention,Yes,Second mention,Yes,,Yes,No mention,No mention,Yes,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Yes,No mention,No mention,Yes,No mention,No mention,No mention,No mention,No mention,,Some,No,Yes,,,No mention,No mention,No,No mention,,Yes,,2000-12-15,2008-02-05,2000-11-15,1956-12-05,1958-06-23,1980-07-17,1982-09-02,,2006-12-06,2002-05-09,
Dominican Republic,42.0,2003,Tier 3,No,No,,Yes,First mention,Yes,Second mention,Yes,Third mention,Yes,,Yes,Yes,Yes,No mention,Yes,Yes,Yes,Yes,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Yes,No mention,No mention,No mention,No mention,,Some,Some,No mention,,,Yes,No mention,No,No mention,,Some,,2000-12-15,2008-02-05,2000-11-15,1956-12-05,1958-06-23,1980-07-17,1982-09-02,,2006-12-06,2002-05-09,
